movie_id,country
/m/0j637s9,Soviet Union
/m/02pyxxd,
/m/04f_wj4,United Kingdom
/m/026k70d,United States of America
/m/0fq00gq,
/m/0fds50,India
/m/0gfxs9,Spain
/m/03d780k,Japan
/m/0jkxw_8,India
/m/05f4nyh,United States of America
/m/0k8xt82,Canada
/m/0jt9q8j,Greece
/m/02pyxxr,United Kingdom
/m/02r8_4y,United States of America
/m/096nrt,Denmark
/m/0490_m,United States of America
/m/02ry4b8,
/m/04yftbt,Canada
/m/03c5zcj,United Kingdom
/m/036z4q,United States of America
/m/0dn94_,France
/m/0dn94_,Italy
/m/0bz3jx,Switzerland
/m/0bz3jx,France
/m/0bz3jx,Germany
/m/043jt7q,Soviet Union
/m/09mtx1,
/m/07k4jw0,United States of America
/m/0hqzt6p,
/m/06w2rd_,Japan
/m/0dnrcd,United States of America
/m/0gj91w_,German Democratic Republic
/m/0415dvr,United States of America
/m/0j2b9zg,United States of America
/m/05b_1rc,Russia
/m/0fqhv9,United States of America
/m/06_461,France
/m/06_461,India
/m/06_461,United Kingdom
/m/0d3vw_,
/m/04n4y_d,Denmark
/m/0d9j9b,United States of America
/m/0h98td6,
/m/0hn9t9p,
/m/02qkk0c,France
/m/03csv6x,United Kingdom
/m/04yc5nr,United States of America
/m/0h3szt6,
/m/0gw_pc6,Hong Kong
/m/0gw_pc6,China
/m/0h3m16l,
/m/04cth_t,South Korea
/m/0gfhc13,
/m/03c3048,Brazil
/m/05zj4mp,
/m/07s83qp,United States of America
/m/0bbz4tk,Japan
/m/09gplxp,Germany
/m/047c6gn,United States of America
/m/027pfhy,United States of America
/m/02x03wz,Poland
/m/027ngfy,India
/m/05c4_y9,Nazi Germany
